ID,Nama Laptop,Seri ,Processor,Graphic Card,Storage ,RAM,OS,Harga,Port ,Image,category(nama brand),Panel layar,Refresh rate,Heavy
1,Vivobook Pro 15 OLED,K6065,Intel Core i7 12th gen ,NVIDIA GeForce RTX 3050 ,1 TB  ,16 GB,Windows 11,"Rp15.299.000,00",Thunderbolt 4 USBC port,Asus 1,ASUS,FHD (1920 x 1080) 16:9 anglare display,60Hz,1.65 Kg
2,ASUS Vivobook Pro 15 OLED,M6500,Intel Core i7 12th gen ,NVIDIA GeForce RTX 3050 ,1 TB ,16 GB,WIndows 11,"Rp13.399.000,00","1x USB 3.2 Gen 2 TypeC support display , power delivery 1x USB 3.2 Gen 2 TypeC 2x USB 3.2 Gen 1 TypeA 1x 2.5G LAN port",Asus 2 ,ASUS,"14” FHD (1920 x 1080) IPX, 300 nits, 45% NTSC, Anglare",60Hz,1.70 Kg
3,Vivobook Pro 14 OLED,M3401,AMD Ryzen 7,NVIDIA GeForce RTX 3050,512GB ,8 GB,Windows 11,"Rp14.499.000,00","USBC 3.2 Gen 1 (full funcon),2 x USBA 3.2 Gen 1",Asus 3,ASUS,"QHD+ 16:10 (2560 x 1600, WQXGA)Mini LED",60Hz,1.45 Kg
4,ASUS Vivobook Pro 16X OLED,K6604,Intel Core i9 ,NVIDIA GeForce RTX 4070,2 TB  ,64 GB ,Windows 11,"Rp30.999.000,00","1x Type C USB 4 support DisplayPort , power delivery",Asus 4,ASUS,"14″ FHD (1920 x 1080) TN, 250 nits, 45% NTSC",60Hz,2.00 Kg
5,Vivobook Pro 16X OLED,N7600,Intel Core i7 11th gen,NVIDIA GeForce RTX 3050,1 TB ,16 GB,Windows 11,"Rp19.299.000,00","USBC 3.2 Gen 1,2 x USBA 3.2 Gen 2",Asus 5,ASUS,"14"" WUXGA (1920 x 1200), IPS Display",60Hz,1.1 Kg 
6,ASUS Zenbook S 13,UX5304,Intel Core i7 13th gen , NVIDIA GeForce RTX 4060. ,1 TB ,32 GB,Windows 11,"Rp22.999.000,00",Thunderbolt 4 USBC port,Asus 6,ASUS,13.3” 2.8K OLED HDR ,60Hz,1.1 Kg 
7,Zenbook S 13 OLED,UM5302,AMD Ryzen 7 ,NVIDIA GeForce RTX 4060,1 TB ,16 GB ,Windows 11,"Rp18.999.000,00","USBC 3.2 Gen 1,2 x USBA 3.2 Gen 2",Asus 7,ASUS,"13.3"" 16:10 2.8K OLED",60Hz,1.35 Kg
8,Zenbook S 13 Flip ,UP5302,Intel Core i7 12th Gen ,NVIDIA GeForce RTX 3060 ,1 TB ,32 GB,Windows 11,"Rp23.999.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Asus 8,ASUS,15” OLED Display,120Hz,1.70 Kg
9,ROG Zephyrus G14 ,GA403,AMD Ryzen 7 ,NVIDIA GeForce RTX 4080 ,1 TB ,16 GB,Windows 11,"Rp28.999.000,00",Thunderbolt 4 USBC port,Rog 9,ASUS,"14″ WUXGA (1920 x 1200) IPS, 300 nits, anglare, 45% NTSC",120Hz,1.79 Kg
10,ROG Zephyrus G16,GU605,Intel Core i9, NVIDIA GeForce RTX 4080,2TB  ,32GB,Windows 11,"Rp53.999.000,00",Thunderbolt 4 USBC port,Rog 10,ASUS,2.5K  aspect rao OLED,240Hz,1.85 Kg
11,ROG Strix G15,G513RC,AMD Ryzen 7 ,NVIDIA GeForce RTX 3050 ,512GB ,32GB ,Windows 11,"Rp18.999.000,00","1x USB 3.2 Gen 2 TypeC support display , power delivery 1x USB 3.2 Gen 2 TypeC 2x USB 3.2 Gen 1 TypeA 1x 2.5G LAN port",Rog 11,ASUS,FHD (1920 x 1080) 16:9 anglare display,144hz,2.10 Kg 
12,ROG Strix G17,G713RM,AMD Ryzen 7 ,NVIDIA GeForce RTX 3060 ,512GB ,8GB ,Windows 11,"Rp20.499.000,00","1x USB 3.2 Gen 2 TypeC support display , power delivery 1x USB 3.2 Gen 2 TypeC 2x USB 3.2 Gen 1 TypeA 1x 2.5G LAN port",Rog 12,ASUS,FHD (1920 x 1080) 16:9 anglare display,360Hz,2.90 Kg 
13,ROG Strix Scar 16,G634JZ, Intel Core i9 13th Gen ,NVIDIA GeForce RTX 4080 ,2TB  ,16GB ,Windows 11,"Rp65.999.000,00","1x Thunderbolt 4 support DisplayPort , GSYNC",Rog 13,ASUS,"QHD+ 16:10 (2560 x 1600, WQXGA)Mini LED",240Hz,2.60 Kg 
14,ROG Strix Scar 16 (2024),G634JZR ,Intel Core i9 ,NVIDIA GeForce RTX 4080 ,2TB  ,16GB ,Windows 11,"Rp68.999.000,00","1x Thunderbolt 4 support DisplayPort , GSYNC",Rog 14,ASUS,"QHD+ 16:10 (2560 x 1600, WQXGA)Mini LED",240Hz,2.65 Kg 
15,ROG Zephyrus G14 (2023),GA402,AMD Ryzen 7,NVIDIA GeForce RTX 4050 ,512GB ,16GB ,Windows 11,"Rp23.999.000,00","1x Type C USB 4 support DisplayPort , power delivery",Rog 15,ASUS,"QHD+ 16:10 (2560 x 1600, WQXGA)IPSlevel",144Hz,1.72 Kg 
16,ROG Zephyrus G14 (2022),GA402RJ,AMD Ryzen 9 ,AMD Radeon RX 6700S,512GB  ,8GB ,Windows 11,"Rp21.499.000,00","1x USB 3.2 Gen 2 TypeC support DisplayPort , power delivery",Rog 16,ASUS,"FHD+ 16:10 (1920 x 1200, WUXGA)IPSlevel",144Hz,1.72 Kg 
17,Asus TUF Dash F15,FX516,Intel Core i7 11370H,Nvidia GeForce RTX 3050,512GB ,16GB ,Windows 11,"Rp21.999.000,00","3x USB 3.2 Gen 2, Thunderbolt 4 USBC, HDMI, Audio Jack 3.5, LAN Port",,ASUS,FHD (1920 x 1080) 16:9 anglare display,144Hz,2.00 Kg 
18,ASUS Zenbook DUO,UX8406,Intel Core i7 ,Intel Iris Xe Graphics,1TB  ,32 GB ,Windows 11,Rp16.999.000,"2x Thunderbolt 4 supports display , power delivery",,ASUS,14inch FHD (1920 x 1080) ,60Hz,1.06 Kg
19,ROG Flow X16 ,GV601, Intel Core i9 13th Gen,NVIDIA GeForce RTX 4060,1TB  ,8GB,Windows 11,Rp20.004.000,"1x Thunderbolt4 support DisplayPort, power delivery",,ASUS,16inch QHD+ (2560 x 1600),240Hz,2.09 Kg 
20,ASUS Zenbook S 13 OLED,UX5304,Intel Core i7,Intel Iris Xe Graphics,1TB  ,16GB,Windows 11,Rp24.999.000,2x Thunderbolt4 supports display / power delivery,,ASUS,"13.3inch, 3K (2880 x 1800)",60Hz ,1.1 kg
21,Zenbook 14 Ultralight ,UX435,Intel Core i7 11th Gen,Intel Iris Xe Graphics,1 TB  ,16 GB,Windows 11,Rp20.999.000,2 x Thunderbolt4 USB-C (up to 40 Gbps),,ASUS,14inch FHD (1920 x 1080) ,60Hz ,0.98 Kg
22,ROG Flow X13,GV302,AMD Ryzen 9,NVIDIA GeForce RTX4050 ,1TB  ,8GB,Windows 11,Rp29.999.000,"1x ROG XG Mobile Interface and USB Type-C combo port (with USB 3.2 Gen2, support DisplayPort1.4)",,ASUS,"13.4-inch QHD+ 16:10 (2560 x 1600, WQXGA)",144Hz, 1.3kg
23,ROG Flow X13 ,GV302XI,AMD Ryzen 9 ,NVIDIA GeForce RTX4090 ,1TB  ,32GB,Windows 11,Rp35.999.000,1x USB 3.2 Gen 2 Type-C support DisplayPort/ power delivery,,ASUS,"13.4-inch QHD+ 16:10 (2560 x 1600, WQXGA)",165Hz, 1.3kg
24,Zenbook 14 Flip OLED,UN5401,Intel Core 9 ,NVIDIA GeForce RTX 4070,1TB ,16GB,Windows 11,Rp40.999.000,1x Thunderbolt4 support DisplayPort/ power delivery,,ASUS,"16-inch 2.5K (2560 x 1600, WQXGA)",240Hz, 1.4 kg
25,ASUS Vivobook S 15 OLED BAPE Edition,K5504,Intel Core i5,Intel Iris Xe Graphics,512GB  ,16GB,Windows 11,"              Rp 20,299,000",1x Thunderbolt4 supports display / power delivery,,ASUS,"15.6-inch, 2.8K (2880 x 1620)",120Hz ,1.7kg
26,ASUS Vivobook Go 14,E1404F,AMD Ryzen 3,AMD Radeon ,512GB  ,8GB,Windows 11,Rp5.599.000,1x USB 3.2 Gen 2 Type-C support DisplayPort/ power delivery,,ASUS,"14.0-inch, FHD (1920 x 1080) ",60Hz,1.38 kg
27,ASUS Zenbook Pro 14 OLED,UX6404,Intel Core i9,NVIDIA GeForce RTX 4070,1TB ,16GB,Windows 11,Rp34.999.000,1x Thunderbolt 4 supports display / power delivery,,ASUS,"14.5-inch, 3K (2880 x 1800)",120Hz,1.6 kg
28,ASUS TUF Gaming F15 ,FX506,Intel Core i7,NVIDIA GeForce RTX 3050,512GB  ,8GB,Windows 11,Rp11.499.000,2x USB 3.2 Gen 2 Type-C support display / power delivery,,ASUS,"15.6-inch, FHD (1920 x 1080)",144Hz,2.30 Kg
29,ASUS TUF Gaming F15 ,FX506HM,Intel Core i9,NVIDIA GeForce RTX 3060 ,512GB  ,8GB,Windows 11,Rp12.100.000,2x USB 3.2 Gen 2 Type-C support display / power delivery,,ASUS,"15.6-inch, FHD (1920 x 1080)",144Hz,2.20Kg
30,ASUS TUF Gaming F17 ,FX706,Intel Core i7, NVIDIA GeForce GTX 1650,1TB , 8GB,Windows 11,"Rp11.000.000,00",1x USB 3.2 Gen 2 Type-C,,ASUS,17.3-inch Full HD (1920 x 1080),144Hz,2.60 Kg
31,ASUS TUF Gaming A15 , FA506,AMD Ryzen 5,NVIDIA GeForce GTX 1650,1 TB  ,16 GB,Windows 11,"Rp15.499.000,00",1x USB 3.2 Gen 2 Type-C support display / power delivery,,ASUS, 15.6-inch Full HD (1920 x 1080), 144Hz,2.30 Kg
32,ASUS ROG Zephyrus M16 ,GU604,Intel Core i9-13900H, NVIDIA GeForce  RTX 4070,1TB ,32GB,Windows 11,"Rp43.999.000,00",1x Thunderbolt 4 supports display / power delivery,,ASUS,16-inch ROG Nebula HDR QHD+ (2560 x 1600),240Hz,2.00Kg
33,ASUS ROG Zephyrus Duo 15,GX550,Intel Core i9 10980HK,NVIDIA GeForce RTX 2080,2TB  ,32GB,Windows 11,"Rp71.999.000,00",1x Thunderbolt 4 supports display / power delivery,,ASUS,16-inch HDR QHD (2560 x 1600),240Hz,2.20Kg
34,ASUS ROG Zephyrus Duo 16,GX65,AMD Ryzen 9 7945HX. ,NVIDIA GeForce RTX 4070 ,1 TB  ,16GB,Windows 11,"Rp60.999.000,00",1x USB 3.2 Gen 2 Type-C support display / power delivery,,ASUS,16-inch HDR QHD (2560 x 1600),240Hz, 2.67 kg
35,ASUS VivoBook S14 ,S433FA,Intel Core i5 10210U ,Intel  HD Graphics 520,512GB  ,8GB,Windows 10 ,"Rp8.510.600,00",2x USB 3.2 Gen 2 Type-C support display / power delivery,,ASUS,"14.0-inch, FHD (1920 x 1080) ",60Hz,1.40 kg
36,ASUS VivoBook S14 ,S433FL,Intel Core i5 10210U ,NVIDIA GeForce MX250,512GB  ,8GB,Windows 10 ,"Rp8.510.600,00",2x USB 3.2 Gen 2 Type-C support display / power delivery,,ASUS,"14.0-inch, FHD (1920 x 1080)",60Hz,1.40 kg
37,ASUS Zenbook 14 OLED,UX3405MA,Intel Core  Ultra 7 ,Intel Arc Graphics,1TB  ,32GB,Windows 11,"Rp16.999.000,00",2x USB 3.2 Gen 2 Type-C support display / power delivery,,ASUS,"14.0-inch, 3K (2880 x 1800) ",120Hz,1.20 kg
38,ASUS Zenbook 14,UM3402,AMD Ryzen 5 5625U,AMD Radeon Graphics,512 GB ,8GB,Windows 10 ,"Rp9.990.000,00",2x USB 3.2 Gen 2 Type-C support display / power delivery,,ASUS,15.6-inch ( 3840 x 2160),120hz,2.1 kg
39,ASUS  Zenbook Pro 15,UX535LI,Intel Core i710870H,NVIDIA GeForce GTX 1650,1 TB  , 16GB,Windows 11,"Rp14.699.000,00",2x USB 3.2 Gen 2 Type-C support display / power delivery,,ASUS,"15.6"" OLED, 3840 x 2160",120Hz,2.1 Kg
40,Lenovo ThinkPad L13 Yoga G2,20VK003HID,Intel Core i5 1135G7,Intel Iris Xe,512GB ,16GB,Windows 11,"Rp18.999.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 1,Lenovo,"13.3"" FHD (1920x1080) IPS",60hz,1.44kg
41,Lenovo ThinkPad Z16 Gen 1 ,21D4002YID,AMD Ryzen 7 PRO 6850H,AMD Radeon RX 6500M,512GB ,16GB,Windows 11,"Rp45.920.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 2,Lenovo,"16"" WQUXGA (3840x2400) OLED 400nits",60hz,1.94kg
42,Lenovo ThinkPad X13 Gen 3,21CM004TID,AMD Ryzen 5 PRO 6650U,AMD Radeon 660M,512GB ,8GB,Windows 11,"Rp14.999.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 3,Lenovo,"13.3"" WUXGA (1920x1200) IPS 500nits",60hz,1.38kg
43,Lenovo ThinkPad L13 Yoga Gen 3,21B5004PID,Intel Core i5 1235U,Intel Iris Xe,512GB ,16GB,Windows 11,"Rp23.360.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 4,Lenovo,"13.3"" WUXGA (1920x1200) IPS",60hz,1.32kg
44,Lenovo ThinkPad L13 Gen 4,21FG002VID,Intel Core i7 1355U,Intel Iris Xe,1 TB  ,16GB,Windows 11,"Rp23.750.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 5,Lenovo,"13.3"" WUXGA (1920x1200) IPS",60hz,1.26kg
45,Lenovo ThinkPad X13 Yoga Gen 3,21AW0054ID,Intel Core i7 1265U,Intel Iris Xe,1 TB  ,16GB,Windows 11,"Rp29.999.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 6,Lenovo,"13.3"" WUXGA (1920x1200) IPS",60hz,1.28kg
46,Lenovo ThinkPad E14 Gen 5,21JK00AVID,Intel Core i7 1355U,Intel Iris Xe,512GB ,8GB,Windows 11,"Rp19.999.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 7,Lenovo,"14"" WUXGA (1920x1200) IPS 300nits",60hz,1.53kg
47,Lenovo ThinkPad T14 Gen 4,21HD00A8ID,Intel Core i5 1335U,Intel Iris Xe,512GB ,16GB,Windows 11,"Rp25.000.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 8,Lenovo,"14"" WUXGA (1920x1200) IPS",60hz,1.36kg
48,Lenovo ThinkPad X13 Gen 4,21EX0062ID,Intel Core i5 1345U,Intel Iris Xe,512GB ,16GB,Windows 11,"Rp25.250.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 9,Lenovo,"13.3"" WUXGA (1920x1200) IPS",60hz,1.25kg
49,Lenovo ThinkPad X13 Yoga Gen 4,21F2005KID,Intel Core i5 1345U,Intel Iris Xe,512GB ,16GB,Windows 11,"Rp28.400.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 10,Lenovo,"13.3"" WUXGA (1920x1200) IPS 300nits",60hz,1.21kg
50,Lenovo ThinkPad X1 Carbon Gen 11,21HM0098ID,Intel Core i7 1365U,Intel Iris Xe,1 TB  ,16GB,Windows 11,"Rp33.650.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 11,Lenovo,"14"" WUXGA (1920x1200) IPS",60hz,1.12kg
51,Lenovo ThinkPad X1 Nano Gen 3,21K1000KID,Intel Core i7 1370P,Intel Iris Xe,1 TB  ,16GB,Windows 11,"Rp36.550.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 12,Lenovo,"13"" 2K (2160x1350) IPS",60hz,0.9kg
52,Lenovo ThinkPad P16 Gen 2,21FAS04200,Intel Core i9 13950HX,NVIDIA GeForce RTX 3500,1 TB  ,32GB,Windows 11,"Rp61.200.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 13,Lenovo,"16"" WQXGA (2560x1600)",60hz, 2.95kg
53,Lenovo ThinkPad P16v Gen 1,21FCS00W00,Intel Core i7 13700H,NVIDIA GeForce RTX A500,1 TB  ,16GB,Windows 11,"Rp32.900.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 14,Lenovo,"16"" WUXGA (1920x1200) IPS",60hz, 2.2kg
54,Lenovo ThinkPad X1 Yoga Gen 8,21HQ007YID,Intel Core i7 1365U,Intel Iris Xe,1 TB  ,16GB,Windows 11,"Rp35.000.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 15,Lenovo,"14"" WUXGA (1920x1200) IPS",60hz,1.38kg
55,Lenovo ThinkPad L13 Yoga Gen 4,21FJ002AID,Intel Core i5 1335U,Intel Iris Xe,512GB ,16GB,Windows 11,"Rp22.750.000,00","1x USB 3.2 Gen 1 (Always On),1x Ethernet extension connector,1x HDMI 2.0,1x microSD card reader,1x USB-C 3.2 Gen 2",Thinkpad 16,Lenovo,"13.3"" WUXGA (1920x1200) IPS",60hz,1.32kg
56,Lenovo ThinkBook 14 G3 ACL,21A200LSID,AMD Ryzen 3 5300U,AMD Radeon Graphics,512GB ,4GB,Windows 11,"Rp7.399.000,00","1x USB 3.2 Gen 1,1x HDMI 1.4b,1x USB 3.2 Gen 1 (Always On),1x Ethernet (RJ-45)",Thinkbook 1,Lenovo,"14"" FHD (1920x1080) IPS",60hz,1.4kg
57,Lenovo ThinkBook 14 G4 IAP,21DH00LKID,Intel Core i7 1255U,Intel Iris Xe,1 TB  ,8GB,Windows 11,"Rp15.999.000,00","1x USB 3.2 Gen 1,1x HDMI 1.4b,1x USB 3.2 Gen 1 (Always On),1x Ethernet (RJ-45)",Thinkbook 2,Lenovo,"14"" FHD (1920x1080) IPS",60hz,1.4kg
58,Lenovo ThinkBook 13s G4 IAP,21AR008EID,Intel Core i7 1260P,Intel Iris Xe,1 TB  ,16GB,Windows 11,"Rp16.999.000,00","1x USB 3.2 Gen 1,1x HDMI 1.4b,1x USB 3.2 Gen 1 (Always On),1x Ethernet (RJ-45)",Thinkbook 3,Lenovo,"13.3"" WQXGA (2560x1600) IPS",60hz,1.23kg
59,Lenovo ThinkBook 14s Yoga G3 IRU,21JG0047ID,Intel Core i5 1335U,Intel Iris Xe,512GB ,8GB,Windows 11,"Rp13.999.000,00","1x USB 3.2 Gen 1,1x HDMI 1.4b,1x USB 3.2 Gen 1 (Always On),1x Ethernet (RJ-45)",Thinkbook 4,Lenovo,"14"" FHD (1920x1080) IPS ",60hz,1.5kg
60,Lenovo ThinkBook 14 G6 IRL,21KG00BYID,Intel Core i5 1335U,Intel Iris Xe,512GB ,8GB,Windows 11,"Rp13.299.000,00","1x USB 3.2 Gen 1,1x HDMI 1.4b,1x USB 3.2 Gen 1 (Always On),1x Ethernet (RJ-45)",Thinkbook 5,Lenovo,"14"" WUXGA (1920x1200)",60hz,1.38kg
