ID,Nama Laptop,Seri ,Processor,Graphic Card,Storage ,RAM,OS,Harga,Port ,Image,category(nama brand),Panel layar,Refresh rate,Heavy
174,HP Victus 15-fa0178TX,88Y33PA,Intel Core i5 12450H,NVIDIA GeForce RTX 3050,512 GB ,16 GB,Windows 11,"Rp13.999.000,00","1 USB Type-A 5Gbps signaling rate,1 USB Type-A 5Gbps signaling rate,1 USB Type-C 5Gbps signaling rate,1 HDMI 2.1,1 RJ-45",Victus 3,HP,"(15.6"") diagonal, FHD (1920 x 1080)",144Hz,2.29kg
175,HP VICTUS 16-S0009AX,805V2PA,AMD Ryzen 5 7640HS,NVIDIA GeForce RTX 4060,512 GB ,16 GB,Windows 11,"Rp16.149.000,00","1 USB Type-A 5Gbps signaling rate,1 USB Type-A 5Gbps signaling rate,1 USB Type-C 5Gbps signaling rate,1 HDMI 2.1,1 RJ-45",Victus 4,HP,"(16.1"") diagonal, FHD (1920 x 1080)",144Hz,2.33kg
176,HP VICTUS 16-S0047AX,805V4PA,AMD Ryzen 7 7840HS,NVIDIA GeForce RTX 4060,1 TB ,16 GB,Windows 11,"Rp18.399.000,00","1 USB Type-A 5Gbps signaling rate,1 USB Type-A 5Gbps signaling rate,1 USB Type-C 5Gbps signaling rate,1 HDMI 2.1,1 RJ-45",Victus 5,HP,"(16.1"") diagonal, FHD (1920 x 1080)",144Hz,2.33kg
177,HP VICTUS 16-S0010AX,805V3PA,AMD Ryzen 7 7840HS,NVIDIA GeForce RTX 4060,1 TB ,16 GB,Windows 11,"Rp18.399.000,00","1 USB Type-A 5Gbps signaling rate,1 USB Type-A 5Gbps signaling rate,1 USB Type-C 5Gbps signaling rate,1 HDMI 2.1,1 RJ-45",Victus 6,HP,"(16.1"") diagonal, FHD (1920 x 1080)",144Hz,2.33kg
178,HP VICTUS 15-FA1778TX,9Y0Z4PA,Intel Core i5 13420H,NVIDIA GeForce RTX 3050,1 TB ,16 GB,Windows 11,"Rp13.499.000,00","1 USB Type-A 5Gbps signaling rate,1 USB Type-A 5Gbps signaling rate,1 USB Type-C 5Gbps signaling rate,1 HDMI 2.1,1 RJ-45",Victus 7,HP,"(15.6"") diagonal, FHD (1920 x 1080)",144Hz,2.29kg
179,HP VICTUS 16-R1009TX,9P548PA,Intel Core i7 14700HX,NVIDIA GeForce RTX 4060,1 TB ,16 GB,Windows 11,"Rp23.799.000,00","1 USB Type-A 5Gbps signaling rate,1 USB Type-A 5Gbps signaling rate,1 USB Type-C 5Gbps signaling rate,1 HDMI 2.1,1 RJ-45",Victus 8,HP,"(16.1"") diagonal, FHD (1920 x 1080)",144Hz,2.33kg
180,MSI Creator Z16 HX Studio,B13VETA,intel Core i7 13700HX,NVIDIA GeForce RTX 4050,2 TB ,32 GB,Windows 11,"Rp41.999.000,00","1x Type-C (USB3.2 Gen2 / DP),1x Type-C with PD charging,1x Type-A USB3.2 Gen2",Creator 1,MSI,"16"" 16:10 QHD+ (2560x1600)",165Hz,2.39kg
181,MSI Creator Z16HX Studio,B13VGTO,intel Core i7 13700HX,NVIDIA GeForce RTX 4070,2 TB ,32 GB,Windows 11,"Rp49.999.000,00","1x Type-C (USB3.2 Gen2 / DP),1x Type-C with PD charging,1x Type-A USB3.2 Gen2",Creator 2,MSI,"16"" QHD+ (2560*1600)",120Hz,2.35kg
182,MSI Modern 15 H C13,C13M047ID,Intel Core i5 13420H,Intel Iris Xe Graphics,512 GB ,16 GB,Windows 11,"Rp10.999.000,00","1x Type-C (USB3.2 Gen2 / DP),1x Type-C with PD charging,1x Type-A USB3.2 Gen2",Modern 1,MSI,"15.6"" FHD (1920*1080)",60Hz,1.8kg
183,MSI Modern 14 H,D13MG038ID,Intel Core i7 13620H,Intel Iris Xe Graphics,512 GB ,16 GB,Windows 11,"Rp12.499.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Modern 2,MSI,14” 16:10 FHD+ (1920x1200),60Hz,1.6kg
184,MSI Modern 14 C13M,C13M1023ID,Intel Core i5 1355U,Intel Iris Xe Graphics,512 GB ,16 GB,Windows 11,"Rp9.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Modern 3,MSI,"14"" FHD (1920*1080)",60Hz,1.4kg
185,MSI Modern 14 C13M,C13M875ID,Intel Core i7 1355U,Intel Iris Xe Graphics,512 GB ,16 GB,Windows 11,"Rp11.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Modern 4,MSI,"14"" FHD (1920*1080)",60Hz,1.4kg
186,MSI Modern 14 C11M,C11M244ID,Intel Core i3 1115G4,Intel UHD Graphics,256 GB ,8 GB ,Windows 11,"Rp6.299.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Modern 5,MSI,"14"" FHD IPS-Level Thin Bezel",60Hz,1.4kg
187,MSI Modern 14 C12MO,C12MO879ID,Intel Core i7 1255U,Intel Iris Xe Graphics,512 GB ,16 GB,Windows 11,"Rp10.099.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Modern 6,MSI,"14"" FHD (1920*1080), IPS-Level",60Hz,1.4kg
188,MSI Modern 14 C7M,C7M226ID,AMD Ryzen 7 7730U,AMD Radeon Graphics,512 GB ,16 GB,Windows 11,"Rp9.699.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Modern 7,MSI,"14"" FHD(1920x1080)",60Hz,1.4kg
189,MSI Modern 14 C12MO,C12MO817ID,Intel Core i5 1235U,Intel Iris Xe Graphics,512 GB ,8 GB ,Windows 11,"Rp7.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Modern 8,MSI,"14"" FHD (1920*1080), IPS-Level",60Hz,1.4kg
190,MSI Prestige 13 AI Evo A1MG,A1MG019ID,Intel Core Ultra 5 125H,Intel Arc Graphics,1 TB ,16 GB,Windows 11,"Rp18.499.000,00","1x Type-C (USB3.2 Gen2 / DP),1x Type-C with PD charging,1x Type-A USB3.2 Gen2",Prestige 1,MSI,"13.3"" 16:10, QHD+ (2880 x 1800)",60Hz,0.99kg
191,MSI Prestige 14 EVO B13M,B13M470ID,intel Core i7 13700H,Intel Iris Xe Graphics,1 TB ,16 GB,Windows 11,"Rp16.999.000,00","1x Type-C (USB3.2 Gen2 / DP),1x Type-C with PD charging,1x Type-A USB3.2 Gen2",Prestige 2,MSI,14” 16:10 FHD+ (1920x1200),60Hz,1.49kg
192,MSI Prestige 13 EVO A13M,A13M226ID,Intel Core i7 1360P,Intel Iris Xe Graphics,512 GB ,16 GB,Windows 11,"Rp17.999.000,00","1x Type-C (USB3.2 Gen2 / DP),1x Type-C with PD charging,1x Type-A USB3.2 Gen2",Prestige 3,MSI,13.3” FHD+ (1920x1200),60Hz,0.99kg
193,MSI Prestige 14 EVO,B13M471ID,Intel Core i5 13500H,Intel Iris Xe Graphics,512 GB ,16 GB,Windows 11,"Rp13.499.000,00","1x Type-C (USB3.2 Gen2 / DP),1x Type-C with PD charging,1x Type-A USB3.2 Gen2",Prestige 4,MSI,14” 16:10 FHD+ (1920x1200),60Hz,1.49kg
194,MSI Prestige 14 H B13UCX,B13UCX490ID,Intel Core i7 13620H,NVIDIA GeForce RTX 2050,1 TB ,16 GB,Windows 11,"Rp18.499.000,00","1x Type-C (USB3.2 Gen2 / DP),1x Type-C with PD charging,1x Type-A USB3.2 Gen2",Prestige 5,MSI,14” 16:10 FHD+ (1920x1200),60Hz,1.49kg
195,MSI Summit E16 AI Evo,A1MTG003ID,Intel Core Ultra 7 125H,Intel Arc Graphics,1 TB ,32 GB,Windows 11,"Rp24.499.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Summit 1,MSI,"16"" 16:10 QHD+ (2560x1600)",165Hz,2.1kg
196,MSI Summit E16 AI Studio,A1VETG003ID,Intel Core Ultra 7 155H,NVIDIA GeForce RTX 4050,1 TB ,32 GB,Windows 11,"Rp29.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Summit 2,MSI,"16"" 16:10 QHD+ (2560x1600)",165Hz,2.1kg
197,MSI Summit E13,A13MT256ID,Intel Core i7 1360P,Intel Iris Xe Graphics,1 TB ,16 GB,Windows 11,"Rp20.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Summit 3,MSI,"13.4"" FHD (1920x1200)",120Hz,2.1kg
198,MSI Summit E14FlipEvo,A13MT474ID,Intel Core i7 1360P,Intel Iris Xe Graphics,1 TB ,16 GB,Windows 11,"Rp20.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Summit 4,MSI,"14"" 16:10 QHD+ DCIP3-100% Pen Touch panel",120Hz,2.1kg
199,MSI Thin GF63 12UC,12UC1077ID,Intel Core i5 12450H,NVIDIA GeForce RTX 3050,512 GB ,8 GB ,Windows 11,"Rp11.299.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Thin 1,MSI,"15.6"" FHD (1920*1080)",144Hz,1.86kg
200,MSI THIN GF63 11UC,11UC1604ID,Intel Core i5 11260H,NVIDIA GeForce RTX 3050,512 GB ,8 GB ,Windows 11,"Rp10.399.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Thin 2,MSI,"15.6"" FHD (1920*1080)",144Hz,1.86kg
201,MSI THIN GF63 12UCX,12UCX601ID,Intel Core i7 12650H,NVIDIA GeForce RTX 2050,512 GB ,8 GB ,Windows 11,"Rp10.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Thin 3,MSI,"15.6"" FHD (1920*1080)",144Hz,1.86kg
202,MSI THIN GF63 12VF,12VF452ID,Intel Core i7 12650H,NVIDIA GeForce RTX 4060,512 GB ,16 GB,Windows 11,"Rp15.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Thin 4,MSI,"15.6"" FHD (1920*1080)",144Hz,1.86kg
203,MSI THIN GF63 12UCX,12UCX244ID,Intel Core i5 12450H,NVIDIA GeForce RTX 2050,512 GB ,8 GB ,Windows 11,"Rp9.599.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Thin 5,MSI,"15.6"" FHD (1920*1080)",144Hz,1.86kg
204,MSI GF63 THIN 12VE,12VE218ID,Intel Core i7 12650H,NVIDIA GeForce RTX 4050,512 GB ,16 GB,Windows 11,"Rp13.899.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Thin 6,MSI,"15.6"" FHD (1920*1080)",144Hz,1.86kg
205,MSI GF63 Thin 11UC,11UC1618ID,Intel Core i5 11400H,NVIDIA GeForce RTX 3050,512 GB ,8 GB ,Windows 11,"Rp10.299.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Thin 7,MSI,"15.6"" FHD (1920*1080)",144Hz,1.86kg
206,MSI GF63 Thin 12UC,12UC1015ID,Intel Core i7 12650H,NVIDIA GeForce RTX 3050,512 GB ,8 GB ,Windows 11,"Rp11.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Thin 8,MSI,"15.6"" FHD (1920*1080)",144Hz,1.86kg
207,MSI BRAVO 15 B7ED,B7ED014ID,AMD Ryzen 5 7535HS,AMD RADEON GRAPHIC RX6550M,512 GB ,8 GB ,Windows 11,"Rp9.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Bravo 1,MSI,"15.6"" FHD (1920*1080)",144Hz,2.1kg
208,MSI Cyborg 15 A13VE,A13VE683ID,Intel Core i5 13420H,NVIDIA GeForce RTX 4050,512 GB ,8 GB ,Windows 11,"Rp14.799.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Cyborg 1,MSI,"15.6"" FHD (1920*1080)",144Hz,1.98kg
209,MSI Cyborg 15 AI A1VFK,A1VFK007ID,Intel Core Ultra 7 155H,NVIDIA GeForce RTX 4060,1 TB ,16 GB,Windows 11,"Rp21.499.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Cyborg 2,MSI,"15.6"" FHD (1920*1080)",144Hz,1.98kg
210,MSI Cyborg 15 AI A1VEK,A1VEK009ID,Intel Core Ultra 7 155H,NVIDIA GeForce RTX 4050,512 GB ,16 GB,Windows 11,"Rp19.299.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Cyborg 3,MSI,"15.6"" FHD (1920*1080)",144Hz,1.98kg
211,MSI Cyborg 15 A12UC,A12UC622ID,Intel Core i5 12450H,NVIDIA GeForce RTX 3050,512 GB ,16 GB,Windows 11,"Rp12.499.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Cyborg 4,MSI,"15.6"" FHD (1920*1080)",144Hz,1.98kg
212,MSI Cyborg 15 A12VE,A12VE413ID,Intel Core i5 12450H,NVIDIA GeForce RTX 4050,512 GB ,8 GB ,Windows 11,"Rp14.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Cyborg 5,MSI,"15.6"" FHD (1920*1080)",144Hz,1.98kg
213,MSI Cyborg 15 A12VF,A12VF429ID,Intel Core i7 12650H,NVIDIA GeForce RTX 4060,1 TB ,16 GB,Windows 11,"Rp16.799.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Cyborg 6,MSI,"15.6"" FHD (1920*1080)",144Hz,1.98kg
214,MSI Cyborg 15 A12UCX,A12UCX471ID,Intel Core i5 12450H,NVIDIA GeForce RTX 2050,512 GB ,16 GB,Windows 11,"Rp14.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Cyborg 7,MSI,"15.6"" FHD (1920*1080)",144Hz,1.98kg
215,MSI Katana 17 B13VEK,B13VEK852ID,Intel Core i7 13620H,NVIDIA GeForce RTX 4050,1 TB ,16 GB,Windows 11,"Rp21.499.000,00","I1x Type-C (USB3.2 Gen1 / DP),2x Type-A USB3.2 Gen1,1x Type-A USB2.0,1x HDMI 2.1 (8K @ 60Hz / 4K @ 120Hz),1x RJ45",Katana 1,MSI,"17.3"" QHD (2560*1440)",240Hz,2.25kg
216,MSI Katana 15 B13VGK,B13VGK1256ID,Intel Core i7 13620H,NVIDIA GeForce RTX 4070,1 TB ,16 GB,Windows 11,"Rp21.999.000,00","I1x Type-C (USB3.2 Gen1 / DP),2x Type-A USB3.2 Gen1,1x Type-A USB2.0,1x HDMI 2.1 (8K @ 60Hz / 4K @ 120Hz),1x RJ46",Katana 2,MSI,"15.6"" FHD (1920*1080)",144Hz,1.98kg
217,MSI KATANA 15 B13VEK,B13VEK1444ID,Intel Core i7 13620H,NVIDIA GeForce RTX 4050,1 TB ,16 GB,Windows 11,"Rp17.799.000,00","I1x Type-C (USB3.2 Gen1 / DP),2x Type-A USB3.2 Gen1,1x Type-A USB2.0,1x HDMI 2.1 (8K @ 60Hz / 4K @ 120Hz),1x RJ45",Katana 3,MSI,"15.6"" FHD (1920*1080)",144Hz,2.25kg
218,MSI KATANA 15 B13VFK,B13VFK1410ID,Intel Core i7 13620H,NVIDIA GeForce RTX 4060,1 TB ,16 GB,Windows 11,"Rp19.699.000,00","I1x Type-C (USB3.2 Gen1 / DP),2x Type-A USB3.2 Gen1,1x Type-A USB2.0,1x HDMI 2.1 (8K @ 60Hz / 4K @ 120Hz),1x RJ45",Katana 4,MSI,"15.6"" FHD (1920*1080)",144Hz,2.25kg
219,MSI Raider GE78 HX,14VIG498ID,Intel Core i9 14900HX,NVIDIA GeForce RTX 4090,2 TB ,64GB,Windows 11,"Rp69.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Raider 1,MSI,"17"" 16:10 QHD+(2560 x 1600)",240Hz,3.1kg
220,MSI Raider GE78 HX,14VHG499ID,Intel Core i9 14900HX,NVIDIA GeForce RTX 4080,2 TB ,64GB,Windows 11,"Rp54.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Raider 2,MSI,"17"" 16:10 QHD+(2560 x 1600)",240Hz,3.1kg
221,MSI Raider GE68 HX,14VHG412ID,Intel Core i9 14900HX,NVIDIA GeForce RTX 4080,2 TB ,64GB,Windows 11,"Rp51.499.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Raider 3,MSI,"16"" 16:10 UHD+ (3840x2400)",120Hz,2.75kg
222,MSI Raider GE68HX,13VI221ID,Intel Core i9 13980HX,NVIDIA GeForce RTX 4090,2 TB ,64GB,Windows 11,"Rp54.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Raider 4,MSI,"16"" 16:10 UHD+(3840x2400)",120Hz,2.7kg
223,MSI Stealth 16 AI Studio,A1VGG005ID,Intel Core Ultra 9 185H,NVIDIA GeForce RTX 4070,2 TB ,32 GB,Windows 11,"Rp40.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Stealth 1,MSI,"16"" 16:10 QHD+(2560 x 1600)",240Hz,1.98kg
224,MSI Stealth 14 Studio,A13VF217ID,Intel Core i7 13620H,NVIDIA GeForce RTX 4060,1 TB ,16 GB,Windows 11,"Rp26.499.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Stealth 2,MSI,"14"" 16:10 QHD+ (2560 x 1600)",240Hz,1.7kg
225,MSI Stealth 17 Studio,A13VI087ID,Intel Core i9 13900H,NVIDIA GeForce RTX 4090,2 TB ,32 GB,Windows 11,"Rp60.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Stealth 3,MSI,"17.3"" UHD(3840x2160)",144Hz,2.8kg
226,MSI Stealth 17 Studio,A13VI041ID,Intel Core i9 13900H,NVIDIA GeForce RTX 4090,4 TB ,64GB,Windows 11,"Rp92.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Stealth 4,MSI,"17.3"" UHD(3840x2160)",144Hz,2.8kg
227,MSI Stealth 14Studio,A13VF062ID,Intel Core i7 13700H,NVIDIA GeForce RTX 4060,1 TB ,16 GB,Windows 11,"Rp41.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Stealth 5,MSI,"14"" 16:10 QHD+(2560 x 1600)",240Hz,1.7kg
228,MSI Titan 18 HX,A14VIG027ID,Intel Core i9 14900HX,NVIDIA GeForce RTX 4090,4 TB ,128GB,Windows 11,"Rp89.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Titan 1,MSI,"18"" 16:10 UHD+ (3840x2400)",120Hz,3.6kg
229,MSI Titan 18 HX A14VHG,A14VHG028ID,Intel Core i9 14900HX,NVIDIA GeForce RTX 4080,2 TB ,64GB,Windows 11,"Rp70.999.000,00","I/O Ports 1x Type-C (USB / DP / Thunderbolt 4) with PD charging,3x Type-A USB3.2 Gen1",Titan 2,MSI,"18"" 16:10 UHD+ (3840x2400)",120Hz,3.6kg